BotName, Behaviour, PositionX, PositionY, OrientationX, OrientationY,  DistanceToEnemyFlag, DistanceToOwnFlag, DistanceToEnemyBase, DistanceToOwnBase, DistanceToEnemyFlagScore, DistanceToOwnFlagScore, DistanceToEnemyFlagSpawn, DistanceToOwnFlagSpawn, Visibility, DistanceToNearestEnemy, GameState
2, 0, 59, 5, -2.431676, 20, 16, 76, 46, 48, 56, 20, 20, 33, 999999, 0, 3, 7366
2, 0, 57, 5, -2.901396, 18, 14, 74, 48, 46, 54, 18, 18, 21, 999999, 0, 3, 8433
2, 0, 57, 5, -1.8734177, 18, 14, 74, 48, 46, 54, 18, 18, 21, 999999, 0, 3, 8566
2, 0, 57, 4, -1.7956934, 19, 15, 75, 49, 47, 55, 19, 19, 28, 999999, 0, 3, 8700
2, 0, 57, 4, -1.7776148, 19, 15, 75, 49, 47, 55, 19, 19, 28, 999999, 0, 3, 8833
2, 0, 57, 4, -2.6466355, 19, 15, 75, 49, 47, 55, 19, 19, 28, 999999, 0, 3, 8966
2, 0, 56, 4, 3.0133278, 18, 14, 74, 50, 46, 54, 18, 18, 25, 999999, 0, 3, 9100
2, 0, 56, 4, 2.868389, 18, 14, 74, 50, 46, 54, 18, 18, 25, 999999, 0, 3, 9233
2, 0, 56, 4, 2.8346784, 18, 14, 74, 50, 46, 54, 18, 18, 25, 999999, 0, 3, 9366
2, 0, 55, 4, 2.8268383, 17, 13, 73, 51, 45, 53, 17, 17, 24, 999999, 0, 3, 9500
2, 0, 55, 5, 2.8250146, 16, 12, 72, 50, 44, 52, 16, 16, 22, 999999, 0, 3, 9633
2, 0, 54, 5, 2.8245904, 15, 11, 71, 51, 43, 51, 15, 15, 25, 999999, 0, 3, 9766
2, 0, 54, 5, 2.784375, 15, 11, 71, 51, 43, 51, 15, 15, 25, 999999, 0, 3, 9900
2, 0, 54, 5, 2.7143836, 15, 11, 71, 51, 43, 51, 15, 15, 25, 999999, 0, 3, 10033
2, 0, 53, 5, 2.698104, 14, 10, 70, 52, 42, 50, 14, 14, 24, 999999, 0, 3, 10166
2, 0, 53, 5, 2.6943176, 14, 10, 70, 52, 42, 50, 14, 14, 24, 999999, 0, 3, 10300
2, 0, 53, 5, 2.693437, 14, 10, 70, 52, 42, 50, 14, 14, 24, 999999, 0, 3, 10433
2, 0, 52, 6, 2.6932325, 12, 8, 68, 52, 42, 50, 12, 12, 27, 999999, 0, 3, 10566
2, 0, 52, 6, 1.9761297, 12, 8, 68, 52, 42, 50, 12, 12, 27, 999999, 0, 3, 10700
2, 0, 52, 6, 1.4635526, 12, 8, 68, 52, 42, 50, 12, 12, 27, 999999, 0, 3, 10833
2, 0, 52, 7, 1.3443459, 11, 7, 67, 51, 41, 49, 11, 11, 32, 999999, 0, 3, 10966
2, 0, 52, 7, 1.9031831, 11, 7, 67, 51, 41, 49, 11, 11, 32, 999999, 0, 3, 12033
2, 0, 52, 7, 2.5077932, 11, 7, 67, 51, 41, 49, 11, 11, 32, 999999, 0, 3, 12166
2, 0, 51, 7, 2.8141603, 10, 6, 66, 52, 42, 50, 10, 10, 31, 999999, 0, 3, 12300
2, 0, 51, 8, 2.978162, 9, 5, 65, 51, 41, 49, 9, 9, 34, 999999, 0, 3, 12433
2, 0, 51, 8, 3.0751615, 9, 5, 65, 51, 41, 49, 9, 9, 34, 999999, 0, 3, 12566
2, 0, 50, 8, -3.1414661, 8, 4, 64, 52, 42, 50, 8, 8, 32, 999999, 0, 3, 12700
2, 0, 50, 8, -3.0874844, 8, 4, 64, 52, 42, 50, 8, 8, 32, 999999, 0, 3, 12833
2, 0, 50, 8, -3.0371847, 8, 4, 64, 52, 42, 50, 8, 8, 32, 999999, 0, 3, 12966
2, 0, 50, 8, -2.9860036, 8, 4, 64, 52, 42, 50, 8, 8, 32, 999999, 0, 3, 13100
2, 0, 49, 9, -2.9314501, 8, 4, 62, 52, 42, 50, 8, 8, 22, 999999, 0, 3, 13233
2, 0, 49, 9, -2.8720393, 8, 4, 62, 52, 42, 50, 8, 8, 22, 999999, 0, 3, 13366
2, 0, 49, 9, -2.8207579, 8, 4, 62, 52, 42, 50, 8, 8, 22, 999999, 0, 3, 13500
2, 0, 48, 9, -2.776732, 7, 3, 61, 53, 43, 51, 7, 7, 25, 999999, 0, 3, 13633
2, 0, 48, 9, -2.7324302, 7, 3, 61, 53, 43, 51, 7, 7, 25, 999999, 0, 3, 13766
2, 0, 48, 9, -2.6831164, 7, 3, 61, 53, 43, 51, 7, 7, 25, 999999, 0, 3, 13900
2, 0, 47, 9, -2.6250021, 6, 2, 60, 54, 42, 50, 6, 6, 28, 999999, 0, 3, 14033
2, 0, 47, 9, -2.5542264, 6, 2, 60, 54, 42, 50, 6, 6, 28, 999999, 0, 3, 14166
2, 0, 47, 9, -2.4726412, 6, 2, 60, 54, 42, 50, 6, 6, 28, 999999, 0, 3, 14300
2, 0, 46, 9, -2.3746426, 5, 1, 59, 55, 43, 49, 5, 5, 28, 999999, 0, 3, 14433
2, 0, 46, 9, -2.24949, 5, 1, 59, 55, 43, 49, 5, 5, 28, 999999, 0, 3, 14566
2, 0, 46, 9, -2.215015, 5, 1, 59, 55, 43, 49, 5, 5, 28, 999999, 0, 3, 15900
2, 0, 76, 21, -2.1015806, 47, 43, 77, 13, 49, 57, 47, 47, 33, 999999, 0, 3, 32433
2, 0, 76, 21, -2.0802355, 47, 43, 77, 13, 49, 57, 47, 47, 33, 999999, 0, 3, 32566
2, 0, 75, 20, -2.302098, 45, 41, 77, 15, 49, 57, 45, 45, 33, 999999, 0, 3, 32699
2, 0, 75, 19, -2.3536973, 44, 40, 78, 16, 50, 58, 44, 44, 34, 999999, 0, 3, 32833
4, 0, 44, 9, -2.7975776, 3, 3, 57, 57, 45, 47, 3, 3, 32, 999999, 0, 3, 14700
5, 0, 54, 33, 2.7925253, 39, 35, 59, 39, 15, 23, 39, 39, 39, 999999, 0, 3, 17100
5, 0, 54, 33, 2.7925253, 39, 35, 59, 39, 15, 23, 39, 39, 39, 999999, 0, 3, 17233
5, 0, 54, 33, 2.7925253, 39, 35, 59, 39, 15, 23, 39, 39, 39, 999999, 0, 3, 17366
5, 0, 54, 33, 2.7925253, 39, 35, 59, 39, 15, 23, 39, 39, 39, 999999, 0, 3, 17500
5, 0, 54, 33, 2.7925253, 39, 35, 59, 39, 15, 23, 39, 39, 39, 999999, 0, 3, 17633
5, 0, 54, 33, 2.7925253, 39, 35, 59, 39, 15, 23, 39, 39, 39, 999999, 0, 3, 17766
5, 0, 54, 33, 2.7925253, 39, 35, 59, 39, 15, 23, 39, 39, 39, 999999, 0, 3, 17900
5, 0, 54, 33, 2.7925253, 39, 35, 59, 39, 15, 23, 39, 39, 39, 999999, 0, 3, 18033
5, 0, 54, 33, 2.7925253, 39, 35, 59, 39, 15, 23, 39, 39, 39, 999999, 0, 3, 18166
5, 0, 54, 33, 2.7925253, 39, 35, 59, 39, 15, 23, 39, 39, 39, 999999, 0, 3, 18300
5, 0, 54, 33, 2.7925253, 39, 35, 59, 39, 15, 23, 39, 39, 39, 999999, 0, 3, 18433
5, 0, 54, 33, 2.7925253, 39, 35, 59, 39, 15, 23, 39, 39, 39, 999999, 0, 3, 18566
5, 0, 40, 42, -2.0883045, 46, 50, 54, 62, 8, 0, 46, 46, 46, 999999, 0, 3, 30566
5, 0, 40, 42, -1.3353341, 46, 50, 54, 62, 8, 0, 46, 46, 46, 999999, 0, 3, 30699
5, 0, 40, 41, -1.3066751, 45, 49, 53, 61, 9, 1, 45, 45, 47, 999999, 0, 3, 30833
5, 0, 40, 41, -1.3706377, 45, 49, 53, 61, 9, 1, 45, 45, 47, 999999, 0, 3, 30966
5, 0, 40, 40, -1.3855152, 44, 48, 52, 60, 10, 2, 44, 44, 48, 999999, 0, 3, 31099
5, 0, 41, 40, -1.3889754, 45, 49, 53, 59, 9, 3, 45, 45, 49, 20, 1, 3, 31233
5, 0, 41, 38, -1.38978, 43, 47, 51, 57, 11, 5, 43, 43, 51, 19, 1, 3, 31366
6, 0, 67, 19, 2.9452055, 36, 32, 70, 24, 42, 50, 36, 36, 60, 50, 1, 3, 27233
6, 0, 66, 20, 2.6402519, 36, 32, 68, 24, 40, 48, 36, 36, 65, 46, 1, 3, 28299
6, 0, 66, 20, -2.7245166, 36, 32, 68, 24, 40, 48, 36, 36, 65, 45, 1, 3, 28433
6, 0, 66, 20, -2.3360798, 36, 32, 68, 24, 40, 48, 36, 36, 65, 45, 1, 3, 28566
6, 0, 65, 19, -2.245744, 34, 30, 68, 26, 40, 48, 34, 34, 66, 999999, 0, 3, 28699
6, 0, 65, 19, -2.2247324, 34, 30, 68, 26, 40, 48, 34, 34, 66, 999999, 0, 3, 28833
6, 0, 65, 19, -2.2198455, 34, 30, 68, 26, 40, 48, 34, 34, 66, 999999, 0, 3, 28966
6, 0, 65, 18, -2.2187092, 33, 29, 69, 27, 41, 49, 33, 33, 63, 999999, 0, 3, 29099
6, 0, 65, 18, -1.8513892, 33, 29, 69, 27, 41, 49, 33, 33, 63, 999999, 0, 3, 29233
6, 0, 65, 18, -1.7659643, 33, 29, 69, 27, 41, 49, 33, 33, 63, 999999, 0, 3, 29366
6, 0, 65, 17, -1.7460952, 32, 28, 70, 28, 42, 50, 32, 32, 59, 999999, 0, 3, 29499
6, 0, 64, 17, -1.7414743, 31, 27, 69, 29, 41, 49, 31, 31, 65, 999999, 0, 3, 29633
6, 0, 64, 16, -1.7403995, 30, 26, 70, 30, 42, 50, 30, 30, 63, 999999, 0, 3, 29766
6, 0, 64, 16, -1.7401496, 30, 26, 70, 30, 42, 50, 30, 30, 63, 999999, 0, 3, 29899
6, 0, 64, 16, -1.7400914, 30, 26, 70, 30, 42, 50, 30, 30, 63, 999999, 0, 3, 30033
6, 0, 64, 15, -1.740078, 29, 25, 71, 31, 43, 51, 29, 29, 56, 999999, 0, 3, 30166
6, 0, 64, 15, -1.7400749, 29, 25, 71, 31, 43, 51, 29, 29, 56, 999999, 0, 3, 30299
6, 0, 64, 14, -1.7400742, 28, 24, 72, 32, 44, 52, 28, 28, 53, 999999, 0, 3, 30433
6, 0, 64, 14, -1.7400739, 28, 24, 72, 32, 44, 52, 28, 28, 53, 999999, 0, 3, 30566
6, 0, 64, 14, -1.7400739, 28, 24, 72, 32, 44, 52, 28, 28, 53, 999999, 0, 3, 30699
6, 0, 64, 13, -1.7400739, 27, 23, 73, 33, 45, 53, 27, 27, 56, 999999, 0, 3, 30833
6, 0, 64, 13, 3.0798826, 27, 23, 73, 33, 45, 53, 27, 27, 56, 32, 1, 3, 30966
6, 0, 63, 14, 2.5144558, 27, 23, 71, 33, 43, 51, 27, 27, 63, 31, 1, 3, 31099
6, 0, 63, 14, 2.3829587, 27, 23, 71, 33, 43, 51, 27, 27, 63, 31, 1, 3, 31233
6, 0, 63, 14, 2.352374, 27, 23, 71, 33, 43, 51, 27, 27, 63, 30, 1, 3, 31366
6, 0, 63, 14, 2.3452609, 27, 23, 71, 33, 43, 51, 27, 27, 63, 29, 1, 3, 31499
6, 0, 62, 15, 2.3436065, 27, 23, 69, 33, 41, 49, 27, 27, 68, 28, 1, 3, 31633
6, 0, 62, 15, 2.3125222, 27, 23, 69, 33, 41, 49, 27, 27, 68, 28, 1, 3, 31766
6, 0, 62, 15, 2.2588832, 27, 23, 69, 33, 41, 49, 27, 27, 68, 27, 1, 3, 31899
6, 0, 61, 16, 2.2464073, 27, 23, 67, 33, 39, 47, 27, 27, 70, 26, 1, 3, 32033
6, 0, 61, 16, 2.243506, 27, 23, 67, 33, 39, 47, 27, 27, 70, 26, 1, 3, 32166
6, 0, 61, 16, 2.646322, 27, 23, 67, 33, 39, 47, 27, 27, 70, 25, 1, 3, 32299
6, 0, 61, 16, -2.9332664, 27, 23, 67, 33, 39, 47, 27, 27, 70, 24, 1, 3, 32433
6, 0, 60, 16, -2.7696352, 26, 22, 66, 34, 38, 46, 26, 26, 70, 24, 1, 3, 32566
6, 0, 60, 16, -2.7315767, 26, 22, 66, 34, 38, 46, 26, 26, 70, 23, 1, 3, 32699
6, 0, 60, 15, -2.7227252, 25, 21, 67, 35, 39, 47, 25, 25, 69, 22, 1, 3, 32833
