@relation 'TrainingData-weka.filters.unsupervised.attribute.Remove-R1,3-4,18-weka.filters.unsupervised.attribute.Remove-R3-4'

@attribute ' Behaviour' {0,1,2,3}
@attribute ' Orientation' numeric
@attribute ' DistanceToEnemyBase' numeric
@attribute ' DistanceToOwnBase' numeric
@attribute ' DistanceToEnemyFlagScore' numeric
@attribute ' DistanceToOwnFlagScore' numeric
@attribute ' DistanceToEnemyFlagSpawn' numeric
@attribute ' DistanceToOwnFlagSpawn' numeric
@attribute ' Visibility' numeric
@attribute ' DistanceToNearestEnemy' numeric
@attribute ' seesEnemy' {0,1}
@attribute ' GameState' numeric

@data
1,-2.682213,77,43,49,57,23,23,47,999999,0,3
1,-2.678191,77,45,49,57,21,21,42,999999,0,3
1,-2.677256,77,45,49,57,21,21,42,999999,0,3
1,-2.677818,76,46,48,56,20,20,33,999999,0,3
1,-3.046521,75,47,47,55,19,19,25,999999,0,3
1,-2.626885,74,48,46,54,18,18,21,999999,0,3
1,-2.266006,74,48,46,54,18,18,21,999999,0,3
1,-2.182079,75,49,47,55,19,19,28,999999,0,3
1,-2.162559,74,50,46,54,18,18,25,999999,0,3
1,-2.158018,74,50,46,54,18,18,25,999999,0,3
1,-3.086703,74,50,46,54,18,18,25,35,1,3
1,2.837454,74,50,46,54,18,18,25,999999,0,3
1,2.753958,73,51,45,53,17,17,24,999999,0,3
1,2.734537,73,51,45,53,17,17,24,999999,0,3
1,2.730021,72,52,44,52,16,16,24,999999,0,3
1,2.72897,72,52,44,52,16,16,24,999999,0,3
1,2.728726,71,51,43,51,15,15,25,999999,0,3
1,2.728669,70,52,42,50,14,14,24,999999,0,3
1,2.408139,70,52,42,50,14,14,24,999999,0,3
1,2.284283,70,52,42,50,14,14,24,999999,0,3
1,-2.779123,84,2,56,64,58,58,23,999999,0,3
1,-2.779123,84,2,56,64,58,58,23,999999,0,3
1,-2.919199,84,2,56,64,58,58,23,999999,0,3
1,3.138938,84,2,56,64,58,58,23,999999,0,3
1,3.086598,84,2,56,64,58,58,23,999999,0,3
1,-3.082627,78,8,50,58,52,52,24,999999,0,3
1,-3.065414,77,9,49,57,51,51,32,999999,0,3
1,-3.06141,76,10,48,56,50,50,35,999999,0,3
1,-2.522213,77,11,49,57,49,49,30,999999,0,3
1,-2.137232,77,11,49,57,49,49,30,999999,0,3
1,-2.0477,77,13,49,57,47,47,33,999999,0,3
1,-2.262849,78,14,50,58,46,46,32,999999,0,3
1,-2.349189,77,15,49,57,45,45,33,999999,0,3
1,-2.369271,77,17,49,57,43,43,35,999999,0,3
1,-2.355594,80,34,52,60,30,30,59,999999,0,3
1,-2.355479,79,35,51,59,29,29,58,999999,0,3
1,-2.355452,79,37,51,59,29,29,58,999999,0,3
1,-2.35581,80,38,52,60,28,28,58,999999,0,3
1,-2.355893,79,39,51,59,27,27,56,999999,0,3
1,-2.355912,80,40,52,60,26,26,55,999999,0,3
1,-2.571433,79,41,51,59,25,25,53,999999,0,3
1,-2.725486,78,42,50,58,24,24,51,999999,0,3
1,-2.871081,78,44,50,58,22,22,46,999999,0,3
