@relation 'ALL-weka.filters.unsupervised.attribute.Remove-R1,3-4,6-9,15-16,18'

@attribute ' Behaviour' {0, 1}
@attribute ' Orientation' numeric
@attribute ' DistanceToEnemyFlagScore' numeric
@attribute ' DistanceToOwnFlagScore' numeric
@attribute ' DistanceToEnemyFlagSpawn' numeric
@attribute ' DistanceToOwnFlagSpawn' numeric
@attribute ' Visibility' numeric
@attribute ' GameState' numeric

@data
0,-3.057628,42,50,8,8,32,3
0,-3.01518,43,51,7,7,28,3
0,-2.872039,42,50,8,8,22,3
0,-2.967922,43,51,7,7,28,3
0,-2.820758,42,50,8,8,22,3
0,-2.776732,43,51,7,7,25,3
0,-2.91446,42,50,8,8,22,3
0,-2.73243,43,51,7,7,25,3
0,-2.85347,43,51,7,7,25,3
0,-2.683116,43,51,7,7,25,3
0,-2.783652,43,51,7,7,25,3
0,-2.625002,42,50,6,6,28,3
0,-2.712418,43,51,7,7,25,3
0,2.370505,43,49,5,5,28,3
0,-2.554226,42,50,6,6,28,3
0,-2.472641,42,50,6,6,28,3
0,-2.374643,43,49,5,5,28,3
0,-2.24949,43,49,5,5,28,3
0,-2.797578,45,47,3,3,32,3
0,2.36462,42,50,6,6,28,3
0,1.941317,42,50,6,6,28,3
0,1.842873,41,49,7,7,27,3
0,1.625751,41,49,7,7,27,3
1,-2.760335,46,48,2,2,31,3
0,1.575255,41,49,7,7,27,3
1,-2.339224,43,49,5,5,28,3
1,-1.605161,45,47,3,3,32,3
1,2.20096,44,46,4,4,34,3
0,-2.215015,43,49,5,5,28,3
0,2.325231,43,45,5,5,34,3
1,-2.74202,45,49,3,3,30,3
1,3.14056,45,49,3,3,30,3
1,3.020685,47,47,1,1,31,3
0,2.792525,15,23,39,39,39,3
0,2.792525,15,23,39,39,39,3
0,2.792525,15,23,39,39,39,3
1,1.982925,44,42,4,4,28,3
1,1.875735,47,47,1,1,31,3
0,2.792525,15,23,39,39,39,3
1,3.095065,47,47,1,1,31,3
1,2.272467,44,42,4,4,28,3
0,2.792525,15,23,39,39,39,3
1,-2.851949,48,46,0,0,30,3
1,2.336738,44,42,4,4,28,3
0,2.792525,15,23,39,39,39,3
1,-2.643839,48,46,0,0,30,3
0,2.792525,15,23,39,39,39,3
0,2.792525,15,23,39,39,39,3
0,2.792525,15,23,39,39,39,3
0,2.792525,15,23,39,39,39,3
0,2.792525,15,23,39,39,39,3
1,3.092423,48,46,0,0,30,3
0,2.792525,15,23,39,39,39,3
1,2.70147,48,46,0,0,30,3
1,2.61055,48,46,0,0,30,3
1,2.346823,44,42,4,4,28,3
1,2.589402,49,45,1,1,29,3
1,-2.847495,44,42,4,4,28,3
1,2.584484,48,44,2,2,28,3
1,-2.056894,44,42,4,4,28,3
1,2.58334,49,43,3,3,28,3
1,-1.873029,44,42,4,4,28,3
1,-1.830266,45,43,3,3,31,3
0,1.818409,34,40,14,14,37,3
1,-2.670596,51,59,59,59,18,3
1,-2.698531,53,61,63,63,18,3
1,1.939253,15,23,39,39,39,3
1,-2.792712,53,61,63,63,18,3
1,0.451008,15,23,39,39,39,3
1,-2.823785,53,61,63,63,18,3
1,0.10489,16,24,40,40,49,3
1,-2.831013,53,61,63,63,18,3
1,0.024396,16,24,40,40,49,3
1,-2.832693,54,62,62,62,18,3
1,0.005674,17,25,39,39,57,3
1,-2.833084,53,61,61,61,19,3
1,0.001319,17,25,39,39,57,3
1,-2.635507,52,60,60,60,19,3
1,0.000307,17,25,39,39,57,3
1,-2.559147,52,60,60,60,19,3
1,-2.670802,50,58,54,54,24,3
1,-2.541386,52,60,58,58,19,3
1,-2.75785,50,58,52,52,24,3
1,-2.562704,51,59,57,57,19,3
1,-2.784417,50,58,52,52,24,3
1,-2.606136,52,60,56,56,20,3
1,-1.691172,19,27,37,37,50,3
1,-2.616238,51,59,55,55,21,3
1,-1.702029,19,27,37,37,50,3
1,-2.75332,50,58,54,54,24,3
1,-1.704553,19,27,37,37,50,3
1,-2.145078,49,57,49,49,30,3
1,-2.049477,49,57,47,47,33,3
1,-2.235746,49,57,47,47,33,3
1,-2.594241,49,57,45,45,33,3
1,-2.677614,48,56,44,44,33,3
1,-2.289652,49,57,43,43,35,3
1,-2.323096,50,58,42,42,28,3
1,-2.359548,49,57,41,41,38,3
1,-1.465619,20,28,36,36,52,3
1,-2.578756,48,56,40,40,36,3
1,-1.04847,20,28,36,36,52,3
1,-3.022866,47,55,39,39,36,3
